Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 06 1971,General Election,Transcona-Springfield School Division,1,SOSIAK,Office of School Trustee,2665,No
October 06 1971,General Election,Norwood School Division,,KENNEDY,Office of School Trustee,4535,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,2,FRITH,Office of School Trustee,6471,No
October 06 1971,General Election,Ross House,,George MUNROE,Office of Councillor,1302,Yes
October 06 1971,General Election,Kildonan Park,,BASS,Office of Councillor,290,No
October 06 1971,General Election,Kildonan Park,,Charles W. BAKER,Office of Councillor,944,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,3,MEMRICK,Office of School Trustee,7751,No
October 06 1971,General Election,Regent Park,,DZYNDRA,Office of Councillor,1032,No
October 06 1971,General Election,Assiniboine School Division,2,BJORE,Office of School Trustee,2336,Yes
October 06 1971,General Election,St. Vital School Division,,RODIE,Office of School Trustee,3409,No
October 06 1971,General Election,River East School Division,1,MANN,Office of School Trustee,3580,No
October 06 1971,General Election,Mynarski,,Kenneth GALANCHUK,Office of Councillor,1745,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,MALASHEWSKI,Office of School Trustee,2606,No
October 06 1971,General Election,Maybank,,SCHUBERT,Office of Councillor,578,No
October 06 1971,General Election,Winnipeg School Division No. 1,2,REED,Office of School Trustee,7889,Yes
October 06 1971,General Election,River East School Division,1,ROUSE,Office of School Trustee,6001,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,QUAIL,Office of School Trustee,3671,Yes
October 06 1971,General Election,Booth,,George MINAKER,Office of Councillor,3596,Yes
October 06 1971,General Election,Fort Garry School Division,2,PEARCE,Office of School Trustee,1683,Yes
October 06 1971,General Election,Mynarski,,KOSTANIUK,Office of Councillor,331,No
October 06 1971,General Election,Mynarski,,LECHOW,Office of Councillor,913,No
October 06 1971,General Election,Jefferson,,William SASAKI,Office of Councillor,1712,Yes
October 06 1971,General Election,Talbot,,KELLER,Office of Councillor,504,No
October 06 1971,General Election,Seven Oaks School Division,3,ELFENBAUM,Office of School Trustee,3570,No
October 06 1971,General Election,Winnipeg School Division No. 1,1,TROTT,Office of School Trustee,18657,Yes
October 06 1971,General Election,University,,Gerald MERCIER,Office of Councillor,2499,Yes
October 06 1971,General Election,Silver Heights,,MCCLOY,Office of Councillor,1838,No
October 06 1971,General Election,Fernwood,,Al DUCHARME,Office of Councillor,2447,Yes
October 06 1971,General Election,Queenston,,BROTMAN,Office of Councillor,1361,No
October 06 1971,General Election,Kelvin,,William NORRIE,Office of Councillor,3987,Yes
October 06 1971,General Election,Arlington,,MALANCHUK,Office of Councillor,1414,No
October 06 1971,General Election,Strathcona,,Joseph CROPO,Office of Councillor,1302,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,GRAHAM,Office of School Trustee,1751,No
October 06 1971,General Election,St. Vital School Division,,MELNICK,Office of School Trustee,3263,No
October 06 1971,General Election,Assiniboine School Division,1,MAGNUS,Office of School Trustee,941,Yes
October 06 1971,General Election,Seine River School Division,2,ROZIERE,Office of School Trustee,289,No
October 06 1971,General Election,Cockburn,,Robert JOHANNSON,Office of Councillor,1665,Yes
October 06 1971,General Election,St. James-Assiniboia School Division,,O'BRIEN,Office of School Trustee,11681,Yes
October 06 1971,General Election,Arlington,,Olga FUGA,Office of Councillor,1494,Yes
October 06 1971,General Election,Kirkfield,,WIERSEMA,Office of Councillor,179,No
October 06 1971,General Election,Garden City,,Abe YANOFSKY,Office of Councillor,2726,Yes
October 06 1971,General Election,Fort Garry School Division,3,TAYLOR,Office of School Trustee,283,No
October 06 1971,General Election,Kirkfield,,Bill HALLONQUIST,Office of Councillor,1571,Yes
October 06 1971,General Election,Fort Garry School Division,2,BEARDMORE,Office of School Trustee,1490,No
October 06 1971,General Election,Winakwa,,Michael DENNEHY,Office of Councillor,2152,Yes
October 06 1971,General Election,Sargent Park,,William MCGARVA,Office of Councillor,2390,Yes
October 06 1971,General Election,River East School Division,1,KIRKLAND,Office of School Trustee,5223,Yes
October 06 1971,General Election,Seven Oaks School Division,3,RADCHUK,Office of School Trustee,4178,Yes
October 06 1971,General Election,Queenston,,Warren STEEN,Office of Councillor,3252,Yes
October 06 1971,General Election,Kildonan Park,,STREWCHUK,Office of Councillor,435,No
October 06 1971,General Election,Ross House,,FERGUSON,Office of Councillor,630,No
October 06 1971,General Election,Jefferson,,SOROKIN,Office of Councillor,684,No
October 06 1971,General Election,River East School Division,1,ONYSKO,Office of School Trustee,4147,No
October 06 1971,General Election,Fort Garry School Division,3,JACKSON,Office of School Trustee,537,No
October 06 1971,General Election,Seven Oaks School Division,3,SCHNOOR,Office of School Trustee,3348,No
October 06 1971,General Election,Garden City,,BAILEY,Office of Councillor,1408,No
October 06 1971,General Election,Kern Park,,Philip RIZZUTO,Office of Councillor,1082,Yes
October 06 1971,General Election,Winnipeg School Division No. 1,1,STRANGE,Office of School Trustee,5316,No
October 06 1971,General Election,Transcona-Springfield School Division,1,ANDREE,Office of School Trustee,3913,Yes
October 06 1971,General Election,Seven Oaks School Division,2,SINCLAIR,Office of School Trustee,0,Yes
October 06 1971,General Election,Weston,,Alan C. WADE,Office of Councillor,2289,Yes
October 06 1971,General Election,Transcona-Springfield School Division,1,MATHESON,Office of School Trustee,2071,No
October 06 1971,General Election,Charleswood Park,,HILGENGA,Office of Councillor,329,No
October 06 1971,General Election,Springfield Heights,,COPP,Office of Councillor,645,No
