Boundary Type,Boundary Name,Boundary Number,Citizen Canadian,Citizen Non-Canadian,Citizen Total,Born Philippines,Born United Kingdom,Born Poland,Born Germany,Born India,Born Portugal,Born United States America,Born China Peoples Republic,Born Ukraine,Born All Other Country,Born Italy,Born Viet Nam,Born Netherlands,Born Jamaica,Born Hong Kong,Born Yugoslavia Other,Born Guyana,Born Croatia,Born Greece,Born Mexico,Born South Korea,Born France,Born Ireland,Born Austria,Born South Africa,Born Egypt,Born Taiwan,Born Switzerland,Born Morocco,Born Haiti,Born Lebanon,Born Other Country,Born Total Immigrants,Immigrate Before 1961,Immigrate 1961-1970,Immigrate 1971-1980,Immigrate 1981-1990,Immigrate 1991-1995,Immigrate 1996-2001,Immigrate Period Total,Immigrate 1991-2001,Generation 1st,Generation 2nd,Generation 3rd Or More,Generation Total Population,Immigrate Philippines,Immigrate India,Immigrate China Peoples Republic,Immigrate Ukraine,Immigrate South Korea,Immigrate United States America,Immigrate Pakistan,Immigrate Afghanistan,Immigrate All Other,Immigrate Bosnia Herzegovina,Immigrate United Kingdom,Immigrate Yugoslavia,Immigrate Viet Nam,Immigrate Croatia,Immigrate Russia,Immigrate Iraq,Immigrate Jamaica,Immigrate Iran,Immigrate Romania,Immigrate Colombia,Immigrate Mexico,Immigrate Hong Kong,Immigrate South Africa,Immigrate Sri Lanka,Immigrate Germany,Immigrate Congo,Immigrate France,Immigrate Haiti,Immigrate Lebanon,Immigrate Morocco,Immigrate Algeria,Immigrate Other,Immigrate Recent Total
Neighbourhood,Agassiz,5.61,430,0,430,0,10,0,20,0,0,10,10,0,30,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,85,55,15,15,10,0,0,85,0,90,90,210,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighbourhood,Airport,2.219,360,10,365,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,10,10,0,15,35,15,30,40,180,250,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Neighbourhood,Alpine Place,5.504,3205,270,3475,0,100,30,30,15,0,25,25,10,340,15,10,10,0,10,70,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,215,575,105,65,55,70,60,225,575,285,570,915,1625,3115,0,0,20,0,0,0,0,35,165,0,10,65,0,0,10,0,0,15,10,0,0,0,0,0,0,15,0,0,0,0,0,40,225
Neighbourhood,Amber Trails,3.337,860,55,915,50,0,70,15,80,40,0,0,10,95,30,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,365,40,40,115,125,40,10,365,50,355,165,180,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Neighbourhood,Archwood,5.505,840,20,855,15,10,10,20,0,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,75,15,0,30,0,25,0,80,25,65,155,485,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighbourhood,Armstrong Point,1.119,370,30,400,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,10,0,20,15,0,20,65,20,40,75,205,315,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Neighbourhood,Beaumont,1.602,2325,60,2385,15,40,10,20,0,0,25,10,0,160,20,25,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,85,255,60,35,40,65,35,15,255,50,235,485,1180,1900,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Neighbourhood,Betsworth,2.633,4380,85,4465,10,90,10,45,25,10,35,0,20,205,45,0,10,0,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,0,0,105,435,100,145,155,20,10,0,435,10,440,665,2490,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neighbourhood,Birchwood,2.207,2050,50,2100,20,70,10,20,10,0,0,0,10,80,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,50,225,105,20,35,35,10,20,225,30,220,505,1190,1915,0,10,0,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
Neighbourhood,Booth,2.208,5280,35,5315,20,130,20,30,20,10,30,0,0,205,10,10,15,0,0,10,0,0,55,0,10,0,0,0,0,0,0,0,0,0,0,95,475,190,140,70,45,10,10,475,20,485,1415,2770,4670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
